State,Value
-XOOXOX--,0.0
-XOOXOX-X,0.0
-XOOXOXOX,1.0
-XOOXOXXO,-2.0
-XOOXX---,0.0
-XOOXX--O,0.0
-XOOXX-XO,3.0
-XOOXXO--,3.0
-XOOXXO-X,0.0
-XOOXXOOX,1.0
-XOOXXOX-,3.0
-XOOXXOXO,2.0
-XOOXXX-O,0.0
-XOOXXXOO,0.0
-XOX-----,0.0
-XOX----O,0.0
-XOX---O-,0.0
-XOX---OX,0.0
-XOX---XO,0.0
-XOX--O--,0.0
-XOX--OOX,0.0
-XOX--OX-,0.0
-XOX--OXO,0.0
-XOX--X-O,-1.0
-XOX--XO-,0.0
-XOX-O-OX,0.0
-XOX-O-X-,0.0
